年度,新台幣,人民幣,日圓,韓元,新加坡元,歐元,英鎊,澳幣
1997,32.638,8.2798,130.57,1695.0,1.6825,-,1.6480,0.6534
1998,32.216,8.2787,113.25,1204.0,1.6598,-,1.6542,0.6184
1999,31.395,8.2793,102.09,1138.0,1.6660,1.0083,1.6157,0.6539
2000,32.992,8.2781,114.90,1264.5,1.7330,0.9423,1.4959,0.5587
2001,34.999,8.2766,131.66,1313.5,1.8504,0.8910,1.4548,0.5108
2002,34.753,8.2773,118.78,1186.2,1.7336,1.0499,1.6121,0.5611
2003,33.978,8.2767,107.37,1192.6,1.7007,1.2591,1.7859,0.7518
2004,31.917,8.2765,102.55,1035.1,1.6328,1.3555,1.9191,0.7817
2005,32.850,8.0702,117.48,1011.6,1.6631,1.1848,1.7233,0.7338
2006,32.596,7.8051,118.81,930.0,1.5326,1.3202,1.9595,0.7892
2007,32.443,7.3041,111.52,936.1,1.4375,1.4588,1.9853,0.8758
2008,32.860,6.8230,90.61,1259.6,1.4363,1.3980,1.4628,0.7075
2009,32.030,6.8268,92.15,1166.1,1.4002,1.4408,1.6124,0.8997
2010,30.368,6.5897,81.32,1134.8,1.2823,1.3366,1.5508,1.0187
2011,30.290,6.2940,77.57,1151.8,1.2982,1.2942,1.5435,1.0153
2012,29.136,6.2335,86.32,1070.6,1.2227,1.3252,1.6123,1.0390
2013,29.950,6.0539,104.98,1055.4,1.2648,1.3786,1.6529,0.8919
2014,31.718,6.2040,119.62,1090.9,1.3224,1.2154,1.5563,0.8185
2015,33.066,6.4936,120.37,1176.2,1.4119,1.0927,1.4832,0.7310
2016,32.279,6.9495,117.09,1203.5,1.4469,1.0508,1.2271,0.7219
2017,29.848,6.5120,112.66,1070.5,1.3371,1.1952,1.3470,0.7794
2018,30.733,6.8658,110.40,1115.7,1.3668,1.1455,1.2657,0.7054
2019,30.106,6.9662,108.64,1154.6,1.3461,1.1210,1.3139,0.7009
2020,28.508,6.5398,103.11,1086.2,1.3211,1.2297,1.3655,0.7708
2021,27.690,6.3793,115.11,1188.8,1.3532,1.1318,1.3473,0.7256
